Pos,No,Driver,Team,Laps,Time,Grid,Pts,Season,Race,RaceNo
2,4,Jenson Button,McLaren-Mercedes,56,+3.2 secs,4,18,2011,Malaysia,2
3,9,Nick Heidfeld,Renault,56,+25.0 secs,6,15,2011,Malaysia,2
4,2,Mark Webber,Red Bull Racing-Renault,56,+26.3 secs,3,12,2011,Malaysia,2
5,6,Felipe Massa,Ferrari,56,+36.9 secs,7,10,2011,Malaysia,2
6,5,Fernando Alonso,Ferrari,56,+57.2 secs,5,8,2011,Malaysia,2
7,16,Kamui Kobayashi,Sauber-Ferrari,56,+66.4 secs,10,6,2011,Malaysia,2
8,3,Lewis Hamilton,McLaren-Mercedes,56,+69.9 secs,2,4,2011,Malaysia,2
9,7,Michael Schumacher,Mercedes,56,+84.8 secs,11,2,2011,Malaysia,2
10,15,Paul di Resta,Force India-Mercedes,56,+91.5 secs,14,1,2011,Malaysia,2
11,14,Adrian Sutil,Force India-Mercedes,56,+101.3 secs,17,0,2011,Malaysia,2
12,8,Nico Rosberg,Mercedes,55,+1 Lap,9,0,2011,Malaysia,2
13,18,Sebastien Buemi,STR-Ferrari,55,+1 Lap,12,0,2011,Malaysia,2
14,19,Jaime Alguersuari,STR-Ferrari,55,+1 Lap,13,0,2011,Malaysia,2
15,20,Heikki Kovalainen,Lotus-Renault,55,+1 Lap,19,0,2011,Malaysia,2
16,24,Timo Glock,Virgin-Cosworth,54,+2 Laps,21,0,2011,Malaysia,2
17,10,Vitaly Petrov,Renault,52,Accident,8,0,2011,Malaysia,2
Ret,23,Vitantonio Liuzzi,HRT-Cosworth,46,Rear wing issue,23,0,2011,Malaysia,2
Ret,25,Jerome D'Ambrosio,Virgin-Cosworth,42,Accident,22,0,2011,Malaysia,2
Ret,21,Jarno Trulli,Lotus-Renault,31,Clutch,20,0,2011,Malaysia,2
Ret,17,Sergio Perez,Sauber-Ferrari,23,Accident,16,0,2011,Malaysia,2
Ret,11,Rubens Barrichello,Williams-Cosworth,22,Hydraulics,15,0,2011,Malaysia,2
Ret,22,Narain Karthikeyan,HRT-Cosworth,14,Hydraulics,24,0,2011,Malaysia,2
Ret,12,Pastor Maldonado,Williams-Cosworth,8,Engine misfire,18,0,2011,Malaysia,2
1,3,Lewis Hamilton,McLaren-Mercedes,56,1:36:58.226,3,25,2011,China,3
2,1,Sebastian Vettel,Red Bull Racing-Renault,56,+5.1 secs,1,18,2011,China,3
3,2,Mark Webber,Red Bull Racing-Renault,56,+7.5 secs,18,15,2011,China,3
4,4,Jenson Button,McLaren-Mercedes,56,+10.0 secs,2,12,2011,China,3
5,8,Nico Rosberg,Mercedes,56,+13.4 secs,4,10,2011,China,3
6,6,Felipe Massa,Ferrari,56,+15.8 secs,6,8,2011,China,3
7,5,Fernando Alonso,Ferrari,56,+30.6 secs,5,6,2011,China,3
8,7,Michael Schumacher,Mercedes,56,+31.0 secs,14,4,2011,China,3
9,10,Vitaly Petrov,Renault,56,+57.4 secs,10,2,2011,China,3
10,16,Kamui Kobayashi,Sauber-Ferrari,56,+63.2 secs,13,1,2011,China,3
11,15,Paul di Resta,Force India-Mercedes,56,+68.7 secs,8,0,2011,China,3
12,9,Nick Heidfeld,Renault,56,+72.7 secs,16,0,2011,China,3
13,11,Rubens Barrichello,Williams-Cosworth,56,+90.1 secs,15,0,2011,China,3
14,18,Sebastien Buemi,STR-Ferrari,56,+90.6 secs,9,0,2011,China,3
15,14,Adrian Sutil,Force India-Mercedes,55,+1 Lap,11,0,2011,China,3
16,20,Heikki Kovalainen,Lotus-Renault,55,+1 Lap,19,0,2011,China,3
17,17,Sergio Perez,Sauber-Ferrari,55,+1 Lap,12,0,2011,China,3
18,12,Pastor Maldonado,Williams-Cosworth,55,+1 Lap,17,0,2011,China,3
19,21,Jarno Trulli,Lotus-Renault,55,+1 Lap,20,0,2011,China,3
20,25,Jerome D'Ambrosio,Virgin-Cosworth,54,+2 Laps,21,0,2011,China,3
21,24,Timo Glock,Virgin-Cosworth,54,+2 Laps,22,0,2011,China,3
22,23,Vitantonio Liuzzi,HRT-Cosworth,54,+2 Laps,23,0,2011,China,3
23,22,Narain Karthikeyan,HRT-Cosworth,54,+2 Laps,24,0,2011,China,3
Ret,19,Jaime Alguersuari,STR-Ferrari,9,Wheel,7,0,2011,China,3
1,1,Sebastian Vettel,Red Bull Racing-Renault,58,1:30:17.558,1,25,2011,Turkey,4
2,2,Mark Webber,Red Bull Racing-Renault,58,+8.8 secs,2,18,2011,Turkey,4
3,5,Fernando Alonso,Ferrari,58,+10.0 secs,5,15,2011,Turkey,4
4,3,Lewis Hamilton,McLaren-Mercedes,58,+40.2 secs,4,12,2011,Turkey,4
5,8,Nico Rosberg,Mercedes,58,+47.5 secs,3,10,2011,Turkey,4
6,4,Jenson Button,McLaren-Mercedes,58,+59.4 secs,6,8,2011,Turkey,4
7,9,Nick Heidfeld,Renault,58,+60.8 secs,9,6,2011,Turkey,4
8,10,Vitaly Petrov,Renault,58,+68.1 secs,7,4,2011,Turkey,4
9,18,Sebastien Buemi,STR-Ferrari,58,+69.3 secs,16,2,2011,Turkey,4
